,Day,Date,Competition,A,B,Score A,Score B,Rank_A,Points_A,Previous_Points_A,+/-_A,Rank_B,Points_B,Previous_Points_B,+/-_B,Team_A,+_A,-_A,Mean 3 +_A,Mean 3 -_A,Team_B,+_B,-_B,Mean 3 +_B,Mean 3 -_B
5762,Fri,2019-06-07,WWC,France,Korea Republic,0,0,4.0,2043.0,2046.0,-1.0,14.0,1883.0,1880.0,0.0,France,0,0,2.6666666666666665,0.6666666666666666,Korea Republic,0,0,1.3333333333333333,1.3333333333333333
5763,Sat,2019-06-08,WWC,Germany,China PR,0,0,2.0,2072.0,2057.0,0.0,16.0,1866.0,1871.0,-1.0,Germany,0,0,1.6666666666666667,0.3333333333333333,China PR,0,0,0.6666666666666666,1.3333333333333333
5764,Sat,2019-06-08,WWC,Spain,South Africa,0,0,13.0,1913.0,1920.0,-1.0,49.0,1485.0,1480.0,-1.0,Spain,0,0,2.0,0.0,South Africa,0,0,1.0,2.3333333333333335
5765,Sat,2019-06-08,WWC,Norway,Nigeria,0,0,12.0,1915.0,1902.0,1.0,38.0,1599.0,1586.0,1.0,Norway,0,0,4.0,1.0,Nigeria,0,0,1.3333333333333333,1.6666666666666667
5766,Sun,2019-06-09,WWC,Australia,Italy,0,0,6.0,2003.0,1999.0,0.0,15.0,1868.0,1859.0,1.0,Australia,0,0,3.3333333333333335,2.0,Italy,0,0,2.3333333333333335,1.6666666666666667
5767,Sun,2019-06-09,WWC,Brazil,Jamaica,0,0,10.0,1944.0,1964.0,0.0,53.0,1449.0,1436.0,0.0,Brazil,0,0,0.6666666666666666,1.6666666666666667,Jamaica,0,0,2.6666666666666665,2.0
5768,Sun,2019-06-09,WWC,England,Scotland,0,0,3.0,2049.0,2021.0,1.0,20.0,1812.0,1810.0,0.0,England,0,0,1.6666666666666667,0.3333333333333333,Scotland,0,0,1.6666666666666667,1.0
5769,Mon,2019-06-10,WWC,Canada,Cameroon,0,0,5.0,2006.0,2006.0,0.0,46.0,1499.0,1499.0,0.0,Canada,0,0,1.0,0.0,Cameroon,0,0,2.6666666666666665,2.0
5770,Mon,2019-06-10,WWC,Argentina,Japan,0,0,37.0,1626.0,1631.0,-1.0,7.0,1991.0,1984.0,1.0,Argentina,0,0,1.0,2.0,Japan,0,0,1.0,2.6666666666666665
5771,Tue,2019-06-11,WWC,New Zealand,Netherlands,0,0,19.0,1815.0,1819.0,0.0,8.0,1967.0,1987.0,-1.0,New Zealand,0,0,0.6666666666666666,2.6666666666666665,Netherlands,0,0,1.0,0.6666666666666666
5772,Tue,2019-06-11,WWC,Chile,Sweden,0,0,39.0,1589.0,1601.0,-1.0,9.0,1962.0,1976.0,0.0,Chile,0,0,0.6666666666666666,1.3333333333333333,Sweden,0,0,0.6666666666666666,0.6666666666666666
5773,Tue,2019-06-11,WWC,United States,Thailand,0,0,1.0,2101.0,2123.0,0.0,34.0,1658.0,1670.0,-5.0,United States,0,0,3.0,0.0,Thailand,0,0,0.3333333333333333,3.3333333333333335
5774,Wed,2019-06-12,WWC,Nigeria,Korea Republic,0,0,38.0,1599.0,1586.0,1.0,14.0,1883.0,1880.0,0.0,Nigeria,0,0,1.0,0.3333333333333333,Korea Republic,0,0,1.3333333333333333,1.0
5775,Wed,2019-06-12,WWC,Germany,Spain,0,0,2.0,2072.0,2057.0,0.0,13.0,1913.0,1920.0,-1.0,Germany,0,0,1.3333333333333333,0.3333333333333333,Spain,0,0,0.6666666666666666,0.0
5776,Wed,2019-06-12,WWC,France,Norway,0,0,4.0,2043.0,2046.0,-1.0,12.0,1915.0,1902.0,1.0,France,0,0,1.6666666666666667,0.3333333333333333,Norway,0,0,1.6666666666666667,0.3333333333333333
5777,Thu,2019-06-13,WWC,South Africa,China PR,0,0,49.0,1485.0,1480.0,-1.0,16.0,1866.0,1871.0,-1.0,South Africa,0,0,0.3333333333333333,1.6666666666666667,China PR,0,0,0.6666666666666666,1.0
5778,Thu,2019-06-13,WWC,Australia,Brazil,0,0,6.0,2003.0,1999.0,0.0,10.0,1944.0,1964.0,0.0,Australia,0,0,2.0,1.6666666666666667,Brazil,0,0,0.3333333333333333,1.0
5779,Fri,2019-06-14,WWC,England,Argentina,0,0,3.0,2049.0,2021.0,1.0,37.0,1626.0,1631.0,-1.0,England,0,0,0.6666666666666666,0.3333333333333333,Argentina,0,0,1.0,1.3333333333333333
5780,Fri,2019-06-14,WWC,Japan,Scotland,0,0,7.0,1991.0,1984.0,1.0,20.0,1812.0,1810.0,0.0,Japan,0,0,0.3333333333333333,2.0,Scotland,0,0,1.3333333333333333,0.6666666666666666
5781,Fri,2019-06-14,WWC,Jamaica,Italy,0,0,53.0,1449.0,1436.0,0.0,15.0,1868.0,1859.0,1.0,Jamaica,0,0,1.6666666666666667,1.3333333333333333,Italy,0,0,2.0,1.3333333333333333
5782,Sat,2019-06-15,WWC,Netherlands,Cameroon,0,0,8.0,1967.0,1987.0,-1.0,46.0,1499.0,1499.0,0.0,Netherlands,0,0,1.0,0.3333333333333333,Cameroon,0,0,1.3333333333333333,1.3333333333333333
5783,Sat,2019-06-15,WWC,Canada,New Zealand,0,0,5.0,2006.0,2006.0,0.0,19.0,1815.0,1819.0,0.0,Canada,0,0,0.0,0.0,New Zealand,0,0,0.6666666666666666,1.0
5784,Sun,2019-06-16,WWC,Sweden,Thailand,0,0,9.0,1962.0,1976.0,0.0,34.0,1658.0,1670.0,-5.0,Sweden,0,0,0.3333333333333333,0.6666666666666666,Thailand,0,0,0.0,2.0
5785,Sun,2019-06-16,WWC,United States,Chile,0,0,1.0,2101.0,2123.0,0.0,39.0,1589.0,1601.0,-1.0,United States,0,0,1.3333333333333333,0.0,Chile,0,0,0.3333333333333333,1.0
5786,Mon,2019-06-17,WWC,Korea Republic,Norway,0,0,14.0,1883.0,1880.0,0.0,12.0,1915.0,1902.0,1.0,Korea Republic,0,0,0.6666666666666666,1.0,Norway,0,0,1.0,0.0
5787,Mon,2019-06-17,WWC,South Africa,Germany,0,0,49.0,1485.0,1480.0,-1.0,2.0,2072.0,2057.0,0.0,South Africa,0,0,0.0,1.0,Germany,0,0,0.6666666666666666,0.3333333333333333
5788,Mon,2019-06-17,WWC,China PR,Spain,0,0,16.0,1866.0,1871.0,-1.0,13.0,1913.0,1920.0,-1.0,China PR,0,0,0.3333333333333333,0.3333333333333333,Spain,0,0,0.6666666666666666,0.0
5789,Mon,2019-06-17,WWC,Nigeria,France,0,0,38.0,1599.0,1586.0,1.0,4.0,2043.0,2046.0,-1.0,Nigeria,0,0,1.0,0.0,France,0,0,0.6666666666666666,0.3333333333333333
5790,Tue,2019-06-18,WWC,Jamaica,Australia,0,0,53.0,1449.0,1436.0,0.0,6.0,2003.0,1999.0,0.0,Jamaica,0,0,0.6666666666666666,1.0,Australia,0,0,1.0,0.0
5791,Tue,2019-06-18,WWC,Italy,Brazil,0,0,15.0,1868.0,1859.0,1.0,10.0,1944.0,1964.0,0.0,Italy,0,0,1.0,1.0,Brazil,0,0,0.0,0.3333333333333333
5792,Wed,2019-06-19,WWC,Japan,England,0,0,7.0,1991.0,1984.0,1.0,3.0,2049.0,2021.0,1.0,Japan,0,0,0.0,1.0,England,0,0,0.6666666666666666,0.0
5793,Wed,2019-06-19,WWC,Scotland,Argentina,0,0,20.0,1812.0,1810.0,0.0,37.0,1626.0,1631.0,-1.0,Scotland,0,0,0.3333333333333333,0.0,Argentina,0,0,0.0,1.0
5794,Thu,2019-06-20,WWC,Cameroon,New Zealand,0,0,46.0,1499.0,1499.0,0.0,19.0,1815.0,1819.0,0.0,Cameroon,0,0,1.3333333333333333,0.0,New Zealand,0,0,0.0,0.6666666666666666
5795,Thu,2019-06-20,WWC,Sweden,United States,0,0,9.0,1962.0,1976.0,0.0,1.0,2101.0,2123.0,0.0,Sweden,0,0,0.3333333333333333,0.6666666666666666,United States,0,0,0.3333333333333333,0.0
5796,Thu,2019-06-20,WWC,Netherlands,Canada,0,0,8.0,1967.0,1987.0,-1.0,5.0,2006.0,2006.0,0.0,Netherlands,0,0,0.3333333333333333,0.3333333333333333,Canada,0,0,0.0,0.0
5797,Thu,2019-06-20,WWC,Thailand,Chile,0,0,34.0,1658.0,1670.0,-5.0,39.0,1589.0,1601.0,-1.0,Thailand,0,0,0.0,1.0,Chile,0,0,0.0,0.6666666666666666
