,Rank,Points,Previous_Points,+/-,Name,Soccerway_name
0,1,2101,2123,0,USA,united-states
1,2,2072,2057,0,Germany,germany
2,3,2049,2021,1,England,england
3,4,2043,2046,-1,France,france
4,5,2006,2006,0,Canada,canada
5,6,2003,1999,0,Australia,australia
6,7,1991,1984,1,Japan,japan
7,8,1967,1987,-1,Netherlands,netherlands
8,9,1962,1976,0,Sweden,sweden
9,10,1944,1964,0,Brazil,brazil
10,11,1940,1938,0,Korea DPR,korea-dpr
11,12,1915,1902,1,Norway,norway
12,13,1913,1920,-1,Spain,spain
13,14,1883,1880,0,Korea Republic,korea-republic
14,15,1868,1859,1,Italy,italy
15,16,1866,1871,-1,China PR,china-pr
16,17,1840,1842,0,Denmark,denmark
17,18,1828,1832,0,Switzerland,switzerland
18,19,1815,1819,0,New Zealand,new-zealand
19,20,1812,1810,0,Scotland,scotland
20,20,1812,1803,1,Belgium,belgium
21,22,1806,1798,0,Iceland,iceland
22,23,1798,1797,0,Austria,austria
23,24,1714,1728,0,Ukraine,ukraine
24,25,1713,1713,0,Russia,russia
25,26,1700,1698,1,Mexico,mexico
26,26,1700,1700,0,Colombia,colombia
27,28,1676,1656,6,Poland,poland
28,29,1669,1668,2,Czech Republic,czech-republic
29,30,1668,1665,2,Portugal,portugal
30,31,1666,1663,2,Republic of Ireland,ireland-republic
31,32,1665,1672,-4,Finland,finland
32,33,1663,1670,-4,Wales,wales
33,34,1658,1670,-5,Thailand,thailand
34,35,1638,1638,0,Vietnam,vietnam
35,36,1630,1630,1,Costa Rica,costa-rica
36,37,1626,1631,-1,Argentina,argentina
37,38,1599,1586,1,Nigeria,nigeria
38,39,1589,1601,-1,Chile,chile
39,40,1574,1577,0,Chinese Taipei,chinese-taipei
40,41,1551,1549,0,Romania,romania
41,42,1545,1557,-42,Uzbekistan,uzbekistan
42,43,1539,1543,-1,Serbia,serbia
43,44,1530,1519,0,Myanmar,myanmar
44,45,1527,1524,-2,Hungary,hungary
45,46,1499,1509,-1,Slovakia,slovakia
46,46,1499,1499,0,Cameroon,cameroon
47,48,1494,1494,-1,Paraguay,paraguay
48,49,1485,1480,-1,South Africa,south-africa
49,50,1479,1479,-1,Papua New Guinea,papua-new-guinea
50,51,1452,1452,-1,Ghana,ghana
51,52,1451,1424,3,Slovenia,slovenia
52,53,1449,1436,0,Jamaica,jamaica
53,54,1440,1442,-2,Jordan,jordan
54,55,1436,1423,1,Belarus,belarus
55,56,1433,1446,-5,Croatia,croatia
56,56,1433,1433,-2,Panama,panama
57,58,1421,1421,-1,Venezuela,venezuela
58,59,1420,1398,2,Northern Ireland,northern-ireland
59,60,1414,1414,-2,Trinidad and Tobago,trinidad-and-tobago
60,61,1410,1410,-2,Turkey,turkey
61,62,1393,1393,1,Ecuador,ecuador
62,63,1392,1395,-1,India,india
63,63,1392,1392,1,Israel,israel
64,65,1380,1380,0,Peru,peru
65,66,1377,1408,-6,IR Iran,iran
66,67,1376,1376,-1,Greece,greece
67,68,1374,1370,-1,Bosnia and Herzegovina,bosnia-herzegovina
68,69,1363,1363,-1,Côte d'Ivoire,côte-d'ivoire
69,70,1356,1356,0,Equatorial Guinea,equatorial-guinea
70,71,1350,1350,1,Fiji,fiji
71,72,1349,1349,1,Haiti,haiti
72,72,1349,1351,-1,Kazakhstan,kazakhstan
73,74,1347,1347,0,Philippines,philippines
74,74,1347,1347,0,Uruguay,uruguay
75,76,1335,1330,1,Hong Kong,hong-kong
76,77,1325,1325,1,Albania,albania
77,78,1316,1340,-2,Bulgaria,bulgaria
78,79,1300,1300,0,Morocco,morocco
79,80,1288,1288,0,Guatemala,guatemala
80,81,1282,1282,0,Guam,guam
81,82,1274,1278,-82,Bahrain,bahrain
82,83,1272,1272,-1,Faroe Islands,faroe-islands
83,84,1271,1271,-1,Algeria,algeria
84,85,1267,1267,0,Mali,mali
85,86,1258,1270,-2,Indonesia,indonesia
86,87,1249,1249,-1,Tonga,tonga
87,88,1245,1245,-1,Senegal,senegal
88,89,1244,1244,-1,Guyana,guyana
89,90,1243,1243,-1,Malaysia,malaysia
90,91,1239,1239,-1,New Caledonia,new-caledonia
91,92,1232,1232,-1,Bolivia,bolivia
92,93,1224,1224,0,Cuba,cuba
93,93,1224,1224,0,Latvia,latvia
94,95,1222,1222,0,Moldova,moldova
95,96,1218,1218,1,Tahiti,tahiti
96,97,1214,1220,-1,Montenegro,montenegro
97,98,1212,1230,-6,United Arab Emirates,united-arab-emirates
98,99,1211,1213,-1,Estonia,estonia
99,100,1196,1196,-1,Congo,congo
100,101,1193,1187,0,Malta,malta
101,102,1192,1192,-2,Zimbabwe,zimbabwe
102,103,1181,1160,5,Nepal,nepal
103,104,1179,1179,-2,El Salvador,el-salvador
104,105,1175,1175,-1,Puerto Rico,puerto-rico
105,106,1169,1169,-1,Dominican Republic,dominican-republic
106,107,1168,1176,-4,Lithuania,lithuania
107,108,1161,1161,-1,Vanuatu,vanuatu
108,109,1159,1159,0,Cook Islands,cook-islands
109,110,1153,1153,0,Solomon Islands,solomon-islands
110,111,1152,1167,-5,Palestine,palestine
111,112,1138,1138,-1,Georgia,georgia
112,113,1136,1136,-1,Luxembourg,luxembourg
113,114,1130,1130,-1,Samoa,samoa
114,115,1123,1120,-115,Cyprus,cyprus
115,116,1119,1119,-2,Zambia,zambia
116,117,1117,1117,-1,Ethiopia,ethiopia
117,118,1114,1118,-3,Mongolia,mongolia
118,119,1113,1113,-2,Suriname,suriname
119,120,1093,1093,-2,Singapore,singapore
120,121,1092,1092,-2,Nicaragua,nicaragua
121,122,1062,1062,-2,Burkina Faso,burkina-faso
122,123,1059,1035,0,Kosovo,kosovo
123,124,1056,1056,-3,FYR Macedonia,macedonia-fyr
124,125,1047,1047,-3,American Samoa,american-samoa
125,126,1031,1031,-2,Tajikistan,tajikistan
126,127,1008,1009,-2,Bangladesh,bangladesh
127,128,1006,1006,-2,Namibia,namibia
128,129,992,992,-2,St. Lucia,st.-lucia
129,130,989,989,-2,St. Kitts and Nevis,st-kitts-and-nevis
130,131,987,987,-2,Bermuda,bermuda
131,132,984,984,-2,Barbados,barbados
132,133,976,976,-2,Tanzania,tanzania
133,134,974,971,-134,Sri Lanka,sri-lanka
134,135,967,943,-1,Lebanon,lebanon
135,136,957,960,-4,Maldives,maldives
136,137,956,956,-4,St. Vincent and the Grenadines,st.-vincent-and-the-grenadines
137,138,921,921,-3,Kenya,kenya
138,139,913,913,-3,Dominica,dominica
139,140,896,896,-3,Rwanda,rwanda
140,141,892,892,-3,Grenada,grenada
141,142,884,884,-3,Afghanistan,afghanistan
142,143,874,874,-3,US Virgin Islands,us-virgin-islands
143,144,873,873,-3,Uganda,uganda
144,145,867,867,-3,Mozambique,mozambique
145,146,850,850,-3,Lesotho,lesotho
146,147,837,837,-3,Malawi,malawi
147,148,804,804,-3,Eswatini,swaziland
148,149,784,784,-3,Antigua and Barbuda,antigua-and-barbuda
149,150,769,771,-150,Bhutan,bhutan
150,151,755,755,-4,Botswana,botswana
151,152,752,752,-4,Curacao,curacao
152,153,747,747,-4,Andorra,andorra
153,154,742,742,-4,Aruba,aruba
154,155,693,693,-4,Madagascar,madagascar
