;Rank;Points;Previous_Points;+/-;Name_FIFA;Soccerway_name;Name_SW
0;1;2101;2123;0;USA;united-states;United States
1;2;2072;2057;0;Germany;germany;Germany
2;3;2049;2021;1;England;england;England
3;4;2043;2046;-1;France;france;France
4;5;2006;2006;0;Canada;canada;Canada
5;6;2003;1999;0;Australia;australia;Australia
6;7;1991;1984;1;Japan;japan;Japan
7;8;1967;1987;-1;Netherlands;netherlands;Netherlands
8;9;1962;1976;0;Sweden;sweden;Sweden
9;10;1944;1964;0;Brazil;brazil;Brazil
10;11;1940;1938;0;Korea DPR;korea-dpr;Korea DPR
11;12;1915;1902;1;Norway;norway;Norway
12;13;1913;1920;-1;Spain;spain;Spain
13;14;1883;1880;0;Korea Republic;korea-republic;Korea Republic
14;15;1868;1859;1;Italy;italy;Italy
15;16;1866;1871;-1;China PR;china-pr;China PR
16;17;1840;1842;0;Denmark;denmark;Denmark
17;18;1828;1832;0;Switzerland;switzerland;Switzerland
18;19;1815;1819;0;New Zealand;new-zealand;New Zealand
19;20;1812;1810;0;Scotland;scotland;Scotland
20;20;1812;1803;1;Belgium;belgium;Belgium
21;22;1806;1798;0;Iceland;iceland;Iceland
22;23;1798;1797;0;Austria;austria;Austria
23;24;1714;1728;0;Ukraine;ukraine;Ukraine
24;25;1713;1713;0;Russia;russia;Russia
25;26;1700;1698;1;Mexico;mexico;Mexico
26;26;1700;1700;0;Colombia;colombia;Colombia
27;28;1676;1656;6;Poland;poland;Poland
28;29;1669;1668;2;Czech Republic;czech-republic;Czech Republic
29;30;1668;1665;2;Portugal;portugal;Portugal
30;31;1666;1663;2;Republic of Ireland;ireland-republic;Republic of Ir…
31;32;1665;1672;-4;Finland;finland;Finland
32;33;1663;1670;-4;Wales;wales;Wales
33;34;1658;1670;-5;Thailand;thailand;Thailand
34;35;1638;1638;0;Vietnam;vietnam;Vietnam
35;36;1630;1630;1;Costa Rica;costa-rica;Costa Rica
36;37;1626;1631;-1;Argentina;argentina;Argentina
37;38;1599;1586;1;Nigeria;nigeria;Nigeria
38;39;1589;1601;-1;Chile;chile;Chile
39;40;1574;1577;0;Chinese Taipei;chinese-taipei;Chinese Taipei
40;41;1551;1549;0;Romania;romania;Romania
41;42;1545;1557;-42;Uzbekistan;uzbekistan;Uzbekistan
42;43;1539;1543;-1;Serbia;serbia;Serbia
43;44;1530;1519;0;Myanmar;myanmar;Myanmar
44;45;1527;1524;-2;Hungary;hungary;Hungary
45;46;1499;1509;-1;Slovakia;slovakia;Slovakia
46;46;1499;1499;0;Cameroon;cameroon;Cameroon
47;48;1494;1494;-1;Paraguay;paraguay;Paraguay
48;49;1485;1480;-1;South Africa;south-africa;South Africa
49;50;1479;1479;-1;Papua New Guinea;papua-new-guinea;Papua New Guinea
50;51;1452;1452;-1;Ghana;ghana;Ghana
51;52;1451;1424;3;Slovenia;slovenia;Slovenia
52;53;1449;1436;0;Jamaica;jamaica;Jamaica
53;54;1440;1442;-2;Jordan;jordan;Jordan
54;55;1436;1423;1;Belarus;belarus;Belarus
55;56;1433;1446;-5;Croatia;croatia;Croatia
56;56;1433;1433;-2;Panama;panama;Panama
57;58;1421;1421;-1;Venezuela;venezuela;Venezuela
58;59;1420;1398;2;Northern Ireland;northern-ireland;Northern Ireland
59;60;1414;1414;-2;Trinidad and Tobago;trinidad-and-tobago;Trinidad and T…
60;61;1410;1410;-2;Turkey;turkey;Turkey
61;62;1393;1393;1;Ecuador;ecuador;Ecuador
62;63;1392;1395;-1;India;india;India
63;63;1392;1392;1;Israel;israel;Israel
64;65;1380;1380;0;Peru;peru;Peru
65;66;1377;1408;-6;IR Iran;iran;Iran
66;67;1376;1376;-1;Greece;greece;Greece
67;68;1374;1370;-1;Bosnia and Herzegovina;bosnia-herzegovina;Bosnia-Herzegovina
68;69;1363;1363;-1;Côte d'Ivoire;côte-d'ivoire;
69;70;1356;1356;0;Equatorial Guinea;equatorial-guinea;Equatorial Guinea
70;71;1350;1350;1;Fiji;fiji;Fiji
71;72;1349;1349;1;Haiti;haiti;Haiti
72;72;1349;1351;-1;Kazakhstan;kazakhstan;Kazakhstan
73;74;1347;1347;0;Philippines;philippines;Philippines
74;74;1347;1347;0;Uruguay;uruguay;Uruguay
75;76;1335;1330;1;Hong Kong;hong-kong;Hong Kong
76;77;1325;1325;1;Albania;albania;Albania
77;78;1316;1340;-2;Bulgaria;bulgaria;Bulgaria
78;79;1300;1300;0;Morocco;morocco;Morocco
79;80;1288;1288;0;Guatemala;guatemala;Guatemala
80;81;1282;1282;0;Guam;guam;Guam
81;82;1274;1278;-82;Bahrain;bahrain;Bahrain
82;83;1272;1272;-1;Faroe Islands;faroe-islands;Faroe Islands
83;84;1271;1271;-1;Algeria;algeria;Algeria
84;85;1267;1267;0;Mali;mali;Mali
85;86;1258;1270;-2;Indonesia;indonesia;Indonesia
86;87;1249;1249;-1;Tonga;tonga;Tonga
87;88;1245;1245;-1;Senegal;senegal;Senegal
88;89;1244;1244;-1;Guyana;guyana;Guyana
89;90;1243;1243;-1;Malaysia;malaysia;Malaysia
90;91;1239;1239;-1;New Caledonia;new-caledonia;New Caledonia
91;92;1232;1232;-1;Bolivia;bolivia;Bolivia
92;93;1224;1224;0;Cuba;cuba;Cuba
93;93;1224;1224;0;Latvia;latvia;Latvia
94;95;1222;1222;0;Moldova;moldova;Moldova
95;96;1218;1218;1;Tahiti;tahiti;Tahiti
96;97;1214;1220;-1;Montenegro;montenegro;Montenegro
97;98;1212;1230;-6;United Arab Emirates;united-arab-emirates;UAE
98;99;1211;1213;-1;Estonia;estonia;Estonia
99;100;1196;1196;-1;Congo;congo;Congo
100;101;1193;1187;0;Malta;malta;Malta
101;102;1192;1192;-2;Zimbabwe;zimbabwe;Zimbabwe
102;103;1181;1160;5;Nepal;nepal;Nepal
103;104;1179;1179;-2;El Salvador;el-salvador;El Salvador
104;105;1175;1175;-1;Puerto Rico;puerto-rico;Puerto Rico
105;106;1169;1169;-1;Dominican Republic;dominican-republic;Dominican Republic
106;107;1168;1176;-4;Lithuania;lithuania;Lithuania
107;108;1161;1161;-1;Vanuatu;vanuatu;Vanuatu
108;109;1159;1159;0;Cook Islands;cook-islands;Cook Islands
109;110;1153;1153;0;Solomon Islands;solomon-islands;Solomon Islands
110;111;1152;1167;-5;Palestine;palestine;Palestine
111;112;1138;1138;-1;Georgia;georgia;Georgia
112;113;1136;1136;-1;Luxembourg;luxembourg;Luxembourg
113;114;1130;1130;-1;Samoa;samoa;Samoa
114;115;1123;1120;-115;Cyprus;cyprus;Cyprus
115;116;1119;1119;-2;Zambia;zambia;Zambia
116;117;1117;1117;-1;Ethiopia;ethiopia;Ethiopia
117;118;1114;1118;-3;Mongolia;mongolia;Mongolia
118;119;1113;1113;-2;Suriname;suriname;Suriname
119;120;1093;1093;-2;Singapore;singapore;Singapore
120;121;1092;1092;-2;Nicaragua;nicaragua;Nicaragua
121;122;1062;1062;-2;Burkina Faso;burkina-faso;Burkina Faso
122;123;1059;1035;0;Kosovo;kosovo;Kosovo
123;124;1056;1056;-3;FYR Macedonia;macedonia-fyr;North Macedonia
124;125;1047;1047;-3;American Samoa;american-samoa;American Samoa
125;126;1031;1031;-2;Tajikistan;tajikistan;Tajikistan
126;127;1008;1009;-2;Bangladesh;bangladesh;Bangladesh
127;128;1006;1006;-2;Namibia;namibia;Namibia
128;129;992;992;-2;St. Lucia;st.-lucia;St. Lucia
129;130;989;989;-2;St. Kitts and Nevis;st-kitts-and-nevis;St. Kitts and …
130;131;987;987;-2;Bermuda;bermuda;Bermuda
131;132;984;984;-2;Barbados;barbados;Barbados
132;133;976;976;-2;Tanzania;tanzania;Tanzania
133;134;974;971;-134;Sri Lanka;sri-lanka;Sri Lanka
134;135;967;943;-1;Lebanon;lebanon;Lebanon
135;136;957;960;-4;Maldives;maldives;Maldives
136;137;956;956;-4;St. Vincent and the Grenadines;st.-vincent-and-the-grenadines;St. Vincent / …
137;138;921;921;-3;Kenya;kenya;Kenya
138;139;913;913;-3;Dominica;dominica;Dominica
139;140;896;896;-3;Rwanda;rwanda;Rwanda
140;141;892;892;-3;Grenada;grenada;Grenada
141;142;884;884;-3;Afghanistan;afghanistan;Afghanistan
142;143;874;874;-3;US Virgin Islands;us-virgin-islands;US Virgin Islands
143;144;873;873;-3;Uganda;uganda;Uganda
144;145;867;867;-3;Mozambique;mozambique;Mozambique
145;146;850;850;-3;Lesotho;lesotho;Lesotho
146;147;837;837;-3;Malawi;malawi;Malawi
147;148;804;804;-3;Eswatini;swaziland;Eswatini
148;149;784;784;-3;Antigua and Barbuda;antigua-and-barbuda;Antigua and Ba…
149;150;769;771;-150;Bhutan;bhutan;Bhutan
150;151;755;755;-4;Botswana;botswana;Botswana
151;152;752;752;-4;Curacao;curacao;Curaçao
152;153;747;747;-4;Andorra;andorra;Andorra
153;154;742;742;-4;Aruba;aruba;Aruba
154;155;693;693;-4;Madagascar;madagascar;Madagascar
